% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct
4207	1	7	8	0	0	0	165	1	0	1
4207	5	45	33	0	0	0	165	0	1	0
4207	7	67	12	0	0	4	437	0	1	1
4208	7	65	4	0	0	6	621	0	1	1
4209	1	2	19	0	0	0	165	0	1	0
4209	4	31	93	0	0	0	165	1	0	1
4209	7	61	7	0	0	10	935	0	1	1
4210	1	1	6	0	0	0	165	0	1	1
4210	7	64	8	0	0	18	1980	0	1	1
4211	5	41	58	0	0	0	165	0	1	0
4211	7	69	1	0	0	16	1836	0	1	1
4212	1	9	23	0	0	0	165	1	0	1
4212	5	49	67	0	0	0	165	0	1	0
4212	7	68	5	0	0	4	437	0	1	1
4213	7	62	6	0	0	6	621	0	1	1
4214	7	66	11	0	0	4	437	0	1	1
4215	7	63	3	0	0	14	1527	0	1	1
4216	4	36	121	0	0	0	165	0	1	0
4216	7	70	2	0	0	12	1191	0	1	1
4217	7	67	12	0	0	4	437	0	1	1
4218	7	61	7	0	0	10	935	0	1	1
4219	7	65	4	0	0	6	621	0	1	1
4220	1	4	3	0	0	0	165	0	1	1
4220	7	64	8	0	0	18	1980	0	1	1
4221	4	37	42	0	0	0	165	0	1	0
4221	7	69	1	0	0	16	1836	0	1	1
4222	1	1	6	0	0	0	165	0	1	1
4222	7	68	5	0	0	4	437	0	1	1
4223	7	66	11	0	0	4	437	0	1	1
4224	3	29	85	0	0	0	165	0	1	0
4224	7	63	3	0	0	14	1527	0	1	1
4225	5	49	67	0	0	0	165	0	1	0
4225	7	70	2	0	0	12	1191	0	1	1
4226	7	62	6	0	0	6	621	0	1	1
4227	7	67	12	0	0	4	437	0	1	1
4228	1	9	23	0	0	0	165	0	1	0
4228	2	11	34	0	0	0	165	0	1	0
4228	7	61	7	0	0	10	935	0	1	1
4229	7	64	8	0	0	18	1980	0	1	1
4230	1	4	3	0	0	0	165	0	1	1
4230	7	69	1	0	0	16	1836	0	1	1
4231	1	2	19	0	0	0	165	0	1	0
4231	7	65	4	0	0	6	621	0	1	1
4232	7	68	5	0	0	4	437	0	1	1
4233	7	63	3	0	0	14	1527	0	1	1
4234	7	66	11	0	0	4	437	0	1	1
4235	1	9	23	0	0	0	165	1	0	1
4235	5	41	58	0	0	0	165	0	1	0
4235	7	70	2	0	0	12	1191	0	1	1
4236	7	62	6	0	0	6	621	0	1	1
4237	4	32	110	0	0	0	165	0	1	0
4237	7	67	12	0	0	4	437	0	1	1
4238	7	61	7	0	0	10	935	0	1	1
4239	7	64	8	0	0	18	1980	0	1	1
4240	7	69	1	0	0	16	1836	0	1	1
4241	4	40	33	0	0	0	165	0	1	0
4241	7	68	5	0	0	4	437	0	1	1
4242	1	4	3	0	0	0	165	0	1	1
4242	2	12	73	0	0	0	165	0	1	0
4242	5	41	58	0	0	0	165	1	0	1
4242	7	65	4	0	0	6	621	0	1	1
4243	1	2	19	0	0	0	165	0	1	0
4243	7	63	3	0	0	14	1527	0	1	1
4244	1	1	6	0	0	0	165	0	1	1
4244	7	66	11	0	0	4	437	0	1	1
4245	2	13	116	0	0	0	165	0	1	0
4245	7	70	2	0	0	12	1191	0	1	1
4246	7	61	7	0	0	10	935	0	1	1
4247	7	67	12	0	0	4	437	0	1	1
4248	5	48	77	0	0	0	165	0	1	0
4248	6	60	8	0	0	0	165	0	1	0
4248	7	62	6	0	0	6	621	0	1	1
4249	3	23	23	0	0	0	165	0	1	0
4249	7	64	8	0	0	18	1980	0	1	1
4250	1	2	19	0	0	0	165	1	0	1
4250	7	69	1	0	0	16	1836	0	1	1
4251	7	68	5	0	0	4	437	0	1	1
4252	4	35	145	0	0	0	165	0	1	0
4252	7	63	3	0	0	14	1527	0	1	1
4253	1	4	3	0	0	0	165	0	1	1
4253	7	65	4	0	0	6	621	0	1	1
4254	1	2	19	0	0	0	165	0	1	0
4254	7	66	11	0	0	4	437	0	1	1
4255	3	25	123	0	0	0	165	0	1	0
4255	7	70	2	0	0	12	1191	0	1	1
4256	7	61	7	0	0	10	935	0	1	1
4257	1	7	8	0	0	0	165	0	1	0
4257	7	67	12	0	0	4	437	0	1	1
4258	7	64	8	0	0	18	1980	0	1	1
4259	2	13	116	0	0	0	165	0	1	0
4259	5	48	77	0	0	0	165	0	1	0
4259	7	69	1	0	0	16	1836	0	1	1
4260	7	62	6	0	0	6	621	0	1	1
4261	7	68	5	0	0	4	437	0	1	1
4262	7	63	3	0	0	14	1527	0	1	1
4263	7	70	2	0	0	12	1191	0	1	1
4264	7	66	11	0	0	4	437	0	1	1
4265	1	4	3	0	0	0	165	0	1	1
4265	7	65	4	0	0	6	621	0	1	1
4266	3	25	123	0	0	0	165	0	1	0
4266	5	48	77	0	0	0	165	1	0	0
4266	7	61	7	0	0	10	935	0	1	1
4267	1	1	6	0	0	0	165	0	1	1
4267	7	67	12	0	0	4	437	0	1	1
4268	1	8	7	0	0	0	165	0	1	0
4268	7	64	8	0	0	18	1980	0	1	1
4269	7	69	1	0	0	16	1836	0	1	1
4270	2	15	99	0	0	0	165	0	1	0
4270	3	30	59	0	0	0	165	0	1	0
4270	7	62	6	0	0	6	621	0	1	1
4271	1	10	15	0	0	0	165	0	1	0
4271	7	68	5	0	0	4	437	0	1	1
4272	7	63	3	0	0	14	1527	0	1	1
4273	2	16	44	0	0	0	165	0	1	0
4273	7	70	2	0	0	12	1191	0	1	1
4274	4	40	33	0	0	0	165	0	1	0
4274	7	66	11	0	0	4	437	0	1	1
4275	7	61	7	0	0	10	935	0	1	1
4276	1	4	3	0	0	0	165	0	1	1
4276	3	25	123	0	0	0	165	0	1	0
4276	6	57	1	0	0	0	165	0	1	0
4276	7	65	4	0	0	6	621	0	1	1
