% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
2442	3	27	65	0	0	165	0	1
2442	4	36	121	0	0	165	0	1
2442	5	50	45	0	0	165	0	1
2442	6	54	55	0	0	165	0	1
2442	7	65	4	0	6	621	0	1
2443	1	4	3	0	0	165	0	1
2443	2	20	15	0	0	165	1	0
2443	3	29	85	0	0	165	0	1
2443	4	33	126	0	0	165	0	1
2443	5	49	67	0	0	165	1	0
2443	6	51	81	0	0	165	0	1
2443	7	63	3	0	14	1527	0	1
2444	1	2	19	0	0	165	0	1
2444	2	20	15	0	0	165	1	0
2444	3	24	94	0	0	165	0	1
2444	4	35	145	0	0	165	0	1
2444	5	47	49	0	0	165	0	1
2444	6	57	1	0	0	165	0	1
2444	7	70	2	0	12	1191	0	1
2445	1	2	19	0	0	165	1	0
2445	2	20	15	0	0	165	0	1
2445	3	28	219	0	0	165	1	0
2445	4	39	74	0	0	165	1	0
2445	5	46	56	0	0	165	0	1
2445	6	58	2	0	0	165	0	1
2445	7	68	5	0	4	437	0	1
2446	1	1	6	0	0	165	0	1
2446	2	20	15	0	0	165	0	1
2446	3	26	102	0	0	165	0	1
2446	4	40	33	0	0	165	0	1
2446	5	41	58	0	0	165	0	1
2446	6	59	3	0	0	165	0	1
2446	7	61	7	0	10	935	0	1
2447	1	3	58	0	0	165	0	1
2447	2	20	15	0	0	165	0	1
2447	3	25	123	0	0	165	0	1
2447	4	38	37	0	0	165	0	1
2447	5	49	67	0	0	165	0	1
2447	6	60	8	0	0	165	0	1
2447	7	62	6	0	6	621	0	1
2448	1	5	49	0	0	165	0	1
2448	3	22	160	0	0	165	0	1
2448	4	37	42	0	0	165	0	1
2448	5	48	77	0	0	165	0	1
2448	6	53	12	0	0	165	0	1
2448	7	66	11	0	4	437	0	1
2449	1	4	3	0	0	165	0	1
2449	3	28	219	0	0	165	0	1
2449	4	36	121	0	0	165	1	0
2449	5	44	105	0	0	165	0	1
2449	6	52	30	0	0	165	0	1
2449	7	64	8	0	18	1980	0	1
2450	1	2	19	0	0	165	0	1
2450	2	20	15	0	0	165	0	1
2450	3	21	237	0	0	165	0	1
2450	4	39	74	0	0	165	0	1
2450	5	42	12	0	0	165	0	1
2450	6	55	40	0	0	165	0	1
2450	7	69	1	0	16	1836	0	1
2451	1	2	19	0	0	165	1	0
2451	2	20	15	0	0	165	0	1
2451	3	23	23	0	0	165	0	1
2451	4	34	89	0	0	165	0	1
2451	5	43	23	0	0	165	0	1
2451	6	56	54	0	0	165	0	1
2451	7	67	12	0	4	437	0	1
2452	1	1	6	0	0	165	0	1
2452	2	20	15	0	0	165	0	1
2452	3	30	59	0	0	165	0	1
2452	4	31	93	0	0	165	0	1
2452	5	45	33	0	0	165	0	1
2452	6	54	55	0	0	165	0	1
2452	7	63	3	0	14	1527	0	1
2453	1	3	58	0	0	165	0	1
2453	3	27	65	0	0	165	0	1
2453	4	32	110	0	0	165	0	1
2453	5	50	45	0	0	165	0	1
2453	6	51	81	0	0	165	0	1
2453	7	70	2	0	12	1191	0	1
2454	1	5	49	0	0	165	0	1
2454	3	29	85	0	0	165	0	1
2454	4	36	121	0	0	165	0	1
2454	5	49	67	0	0	165	1	0
2454	6	57	1	0	0	165	0	1
2454	7	65	4	0	6	621	0	1
2455	1	4	3	0	0	165	0	1
2455	2	20	15	0	0	165	0	1
2455	3	24	94	0	0	165	0	1
2455	4	33	126	0	0	165	0	1
2455	5	47	49	0	0	165	0	1
2455	6	58	2	0	0	165	0	1
2455	7	68	5	0	4	437	0	1
2456	1	2	19	0	0	165	0	1
2456	2	20	15	0	0	165	0	1
2456	3	26	102	0	0	165	0	1
2456	4	35	145	0	0	165	0	1
2456	5	46	56	0	0	165	0	1
2456	6	59	3	0	0	165	0	1
2456	7	61	7	0	10	935	0	1
2457	1	1	6	0	0	165	0	1
2457	2	20	15	0	0	165	0	1
2457	3	25	123	0	0	165	0	1
2457	4	40	33	0	0	165	0	1
2457	5	41	58	0	0	165	0	1
2457	6	60	8	0	0	165	0	1
2457	7	64	8	0	18	1980	0	1
2458	1	3	58	0	0	165	0	1
2458	2	20	15	0	0	165	0	1
2458	3	22	160	0	0	165	0	1
2458	4	38	37	0	0	165	0	1
2458	5	49	67	0	0	165	0	1
2458	6	53	12	0	0	165	0	1
2458	7	66	11	0	4	437	0	1
2459	1	5	49	0	0	165	0	1
2459	2	20	15	0	0	165	0	1
2459	3	28	219	0	0	165	0	1
2459	4	37	42	0	0	165	0	1
2459	5	48	77	0	0	165	0	1
2459	6	52	30	0	0	165	0	1
2459	7	69	1	0	16	1836	0	1
2460	1	4	3	0	0	165	0	1
2460	3	21	237	0	0	165	0	1
2460	4	39	74	0	0	165	0	1
2460	5	44	105	0	0	165	0	1
2460	6	51	81	0	0	165	1	0
2460	7	62	6	0	6	621	0	1
2461	1	2	19	0	0	165	0	1
2461	3	29	85	0	0	165	1	0
2461	4	34	89	0	0	165	0	1
2461	5	42	12	0	0	165	0	1
2461	6	55	40	0	0	165	0	1
2461	7	67	12	0	4	437	0	1
2462	1	1	6	0	0	165	0	1
2462	2	20	15	0	0	165	0	1
2462	3	24	94	0	0	165	1	0
2462	4	31	93	0	0	165	0	1
2462	5	43	23	0	0	165	0	1
2462	6	56	54	0	0	165	0	1
2462	7	63	3	0	14	1527	0	1
2463	1	2	19	0	0	165	1	0
2463	2	20	15	0	0	165	0	1
2463	3	23	23	0	0	165	0	1
2463	4	32	110	0	0	165	0	1
2463	5	45	33	0	0	165	0	1
2463	6	54	55	0	0	165	0	1
2463	7	70	2	0	12	1191	0	1
2464	1	3	58	0	0	165	0	1
2464	2	20	15	0	0	165	0	1
2464	3	30	59	0	0	165	0	1
2464	4	36	121	0	0	165	0	1
2464	5	50	45	0	0	165	0	1
2464	6	51	81	0	0	165	0	1
2464	7	68	5	0	4	437	0	1
2465	1	5	49	0	0	165	0	1
2465	3	27	65	0	0	165	0	1
2465	4	38	37	0	0	165	1	0
2465	5	47	49	0	0	165	0	1
2465	6	57	1	0	0	165	0	1
2465	7	65	4	0	6	621	0	1
2466	1	4	3	0	0	165	0	1
2466	3	29	85	0	0	165	0	1
2466	4	33	126	0	0	165	0	1
2466	5	46	56	0	0	165	0	1
2466	6	58	2	0	0	165	0	1
2466	7	61	7	0	10	935	0	1
2467	1	2	19	0	0	165	0	1
2467	2	20	15	0	0	165	0	1
2467	3	24	94	0	0	165	0	1
2467	4	35	145	0	0	165	0	1
2467	5	41	58	0	0	165	0	1
2467	6	59	3	0	0	165	0	1
2467	7	64	8	0	18	1980	0	1
2468	1	1	6	0	0	165	0	1
2468	2	20	15	0	0	165	0	1
2468	3	26	102	0	0	165	0	1
2468	4	34	89	0	0	165	1	0
2468	5	49	67	0	0	165	0	1
2468	6	60	8	0	0	165	0	1
2468	7	66	11	0	4	437	0	1
2469	1	3	58	0	0	165	0	1
2469	2	20	15	0	0	165	0	1
2469	3	25	123	0	0	165	0	1
2469	4	40	33	0	0	165	0	1
2469	5	48	77	0	0	165	0	1
2469	6	53	12	0	0	165	0	1
2469	7	69	1	0	16	1836	0	1
2470	1	5	49	0	0	165	0	1
2470	2	20	15	0	0	165	0	1
2470	3	22	160	0	0	165	0	1
2470	4	38	37	0	0	165	0	1
2470	5	44	105	0	0	165	0	1
2470	6	54	55	0	0	165	1	0
2470	7	62	6	0	6	621	0	1
2471	1	4	3	0	0	165	0	1
2471	2	20	15	0	0	165	0	1
2471	3	28	219	0	0	165	0	1
2471	4	37	42	0	0	165	0	1
2471	5	42	12	0	0	165	0	1
2471	6	52	30	0	0	165	0	1
2471	7	67	12	0	4	437	0	1
2472	1	2	19	0	0	165	0	1
2472	3	21	237	0	0	165	0	1
2472	4	39	74	0	0	165	0	1
2472	5	43	23	0	0	165	0	1
2472	6	55	40	0	0	165	0	1
2472	7	63	3	0	14	1527	0	1
2473	1	1	6	0	0	165	0	1
2473	3	23	23	0	0	165	0	1
2473	4	34	89	0	0	165	0	1
2473	5	45	33	0	0	165	0	1
2473	6	56	54	0	0	165	0	1
2473	7	70	2	0	12	1191	0	1
2474	1	3	58	0	0	165	0	1
2474	2	20	15	0	0	165	0	1
2474	3	30	59	0	0	165	0	1
2474	4	31	93	0	0	165	0	1
