% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
8.562	2	15	857	3	99	0	165	0	0
8.562	3	22	857	3	160	0	165	0	0
8.562	4	36	857	3	121	0	165	0	0
8.562	5	43	857	3	23	0	165	0	0
8.562	6	54	857	3	55	0	165	0	0
8.562	7	69	857	3	1	16	1836	0	0
8.563	1	7	857	4	8	0	165	0	0
8.563	2	14	857	4	108	0	165	0	0
8.563	3	28	857	4	219	0	165	0	0
8.563	4	33	857	4	126	0	165	0	0
8.563	5	45	857	4	33	0	165	0	0
8.563	6	51	857	4	81	0	165	0	0
8.563	7	65	857	4	4	6	621	0	0
8.564	1	6	857	5	59	0	165	0	0
8.564	2	13	857	5	116	0	165	0	0
8.564	3	23	857	5	23	0	165	0	0
8.564	4	35	857	5	145	0	165	0	0
8.564	5	50	857	5	45	0	165	0	0
8.564	6	60	857	5	8	0	165	0	0
8.564	7	66	857	5	11	4	437	0	0
8.565	1	10	857	6	15	0	165	0	0
8.565	2	16	857	6	44	0	165	0	0
8.565	3	30	857	6	59	0	165	0	0
8.565	4	40	857	6	33	0	165	0	0
8.565	5	47	857	6	49	0	165	0	0
8.565	6	57	857	6	1	0	165	0	0
8.565	7	63	857	6	3	14	1527	0	0
8.566	1	4	857	7	3	0	165	0	0
8.566	2	11	857	7	34	0	165	0	0
8.566	3	27	857	7	65	0	165	0	0
8.566	4	38	857	7	37	0	165	0	0
8.566	5	48	857	7	77	0	165	0	0
8.566	6	58	857	7	2	0	165	0	0
8.566	7	70	857	7	2	12	1191	0	0
8.567	1	3	857	8	58	0	165	0	0
8.567	2	12	857	8	73	0	165	0	0
8.567	3	29	857	8	85	0	165	0	0
8.567	4	37	857	8	42	0	165	0	0
8.567	5	46	857	8	56	0	165	0	0
8.567	6	59	857	8	3	0	165	0	0
8.567	7	67	857	8	12	4	437	0	0
8.568	1	9	857	9	23	0	165	0	0
8.568	2	15	857	9	99	0	165	0	0
8.568	3	24	857	9	94	0	165	0	0
8.568	4	39	857	9	74	0	165	0	0
